FlightNumber,TravelDate,FlightType,Airline,AirlineCode,OriginCode,DestinationCode,EquipmentName,Aircraft type ICAO,MTOW,Seats,Passengers,CargoMass,CheckedBaggageMass,O_Lat,O_Lon,D_Lat,D_Lon,Distance_km
SN9657,1/7/2018,P,Brussels Airlines,SN,BRU,ATH,319 (A319),A319,75500,141,,,,50.90140152,4.48443985,37.93640137,23.94449997,2101.432147
SN9680,1/7/2018,P,Brussels Airlines,SN,BRU,BCN,319 (A319),A319,75500,141,,,,50.90140152,4.48443985,41.2971,2.07846,1083.782962
SN10126,1/7/2018,P,Brussels Airlines,SN,CLY,BRU,319 (A319),A319,75500,141,,,,42.5244444,8.7930556,50.90140152,4.48443985,987.2609275
SN10130,1/7/2018,P,Brussels Airlines,SN,CPH,BRU,319 (A319),A319,75500,141,,,,55.61790085,12.65600014,50.90140152,4.48443985,754.3832725
SN10219,1/7/2018,P,Brussels Airlines,SN,CTA,BRU,319 (A319),A319,75500,141,,,,37.466801,15.0664,50.90140152,4.48443985,1711.742039
SN10233,1/7/2018,P,Brussels Airlines,SN,DBV,BRU,319 (A319),A319,75500,141,,,,42.56140137,18.26819992,50.90140152,4.48443985,1397.227432
SN10247,2/7/2018,P,Brussels Airlines,SN,DME,BRU,319 (A319),A319,75500,141,,,,55.40879822,37.90629959,50.90140152,4.48443985,2260.691621
SN10265,2/7/2018,P,Brussels Airlines,SN,EDI,BRU,319 (A319),A319,75500,141,,,,55.95000076,-3.372499943,50.90140152,4.48443985,764.684805
SN10318,2/7/2018,P,Brussels Airlines,SN,EVN,BRU,319 (A319),A319,75500,141,,,,40.14730072,44.39590073,50.90140152,4.48443985,3283.129158
SN10321,2/7/2018,P,Brussels Airlines,SN,FAO,BRU,319 (A319),A319,75500,141,,,,37.01440048,-7.965909958,50.90140152,4.48443985,1832.272353
SN10347,2/7/2018,P,Brussels Airlines,SN,FCO,BRU,319 (A319),A319,75500,141,,,,41.8002778,12.2388889,50.90140152,4.48443985,1172.549826
SN10404,2/7/2018,P,Brussels Airlines,SN,FLR,BRU,319 (A319),A319,75500,141,,,,43.810001,11.2051,50.90140152,4.48443985,936.1769492
SN10860,2/7/2018,P,Brussels Airlines,SN,LYS,BRU,319 (A319),A319,75500,141,,,,45.725556,5.081111,50.90140152,4.48443985,577.211235
SN10936,2/7/2018,P,Brussels Airlines,SN,MAD,BRU,319 (A319),A319,75500,141,,,,40.471926,-3.56264,50.90140152,4.48443985,1315.612564
SN11808,2/7/2018,P,Brussels Airlines,SN,ZTH,BRU,319 (A319),A319,75500,141,,,,37.7509,20.8843,50.90140152,4.48443985,1950.752632
SN11812,2/7/2018,P,Brussels Airlines,SN,BRU,BSL,319 (A319),A319,75500,141,,,,50.90140152,4.48443985,47.59,7.5291667,429.3628924
SN11816,2/7/2018,P,Brussels Airlines,SN,BRU,BUD,319 (A319),A319,75500,141,,,,50.90140152,4.48443985,47.42976,19.261093,1139.237483
SN11901,2/7/2018,P,Brussels Airlines,SN,BRU,CHQ,319 (A319),A319,75500,141,,,,50.90140152,4.48443985,35.53170013,24.14970016,2322.236306
SN11905,2/7/2018,P,Brussels Airlines,SN,BRU,CIY,319 (A319),A319,75500,141,,,,50.90140152,4.48443985,36.994601,14.607182,1742.098917
SN11909,2/7/2018,P,Brussels Airlines,SN,BRU,CLY,319 (A319),A319,75500,141,,,,50.90140152,4.48443985,42.5244444,8.7930556,987.2609275
